type,title,year,rating,duration,directors,writers,lead_actors,release_date,locations
film,Bones and All,2022,R,2h 10m,Luca Guadagnino,"Camille DeAngelis,Michael Stuhlbarg","Timothée Chalamet,Michael Stuhlbarg,Taylor Russell","November 24, 2022 (Italy)",Vision Distribution
film,Glorious,2022,,,Rebekah McKendry,"David Ian McKendry,J.K. Simmons","Ryan Kwanten,J.K. Simmons,Tordy Clark","August 18, 2022 (United States)",Eyevox Entertainment
film,Karthikeya 2,2022,,,Chandoo Mondeti,Harsha Chemudu,"Nikhil Siddharth,Harsha Chemudu,Darbha Appaji Ambarisha","August 13, 2022 (India)",
film,Day Shift,2022,R,1h 53m,J.J. Perry,"Shay Hatten,Dave Franco","Jamie Foxx,Dave Franco,Natasha Liu Bordizzo","August 12, 2022 (United States)",
film,Spider-Man: No Way Home,2021,PG-13,2h 28m,Jon Watts,"Erik Sommers,Zendaya","Tom Holland,Zendaya,Benedict Cumberbatch","December 17, 2021 (United States)",Marvel Studios
film,A League of Their Own,1992,PG,2h 8m,Penny Marshall,"Kelly Candaele,Geena Davis","Tom Hanks,Geena Davis,Lori Petty","July 1, 1992 (United States)",
film,The Next 365 Days,2022,TV-MA,1h 52m,Barbara Bialowas,"Tomasz Mandes,Tomasz Klimala,Michele Morrone","Anna-Maria Sieklucka,Michele Morrone,Simone Susinna","August 19, 2022 (United States)",
film,The Nice Guys,2016,R,1h 56m,Shane Black,"Anthony Bagarozzi,Ryan Gosling","Russell Crowe,Ryan Gosling,Angourie Rice","May 20, 2016 (United States)",Waypoint Entertainment
film,Minions: The Rise of Gru,2022,PG,1h 27m,Kyle Balda,"Brad Ableson,Brian Lynch,Pierre Coffin","Steve Carell,Pierre Coffin,Alan Arkin","July 1, 2022 (United States)",
film,Six Days Seven Nights,1998,PG-13,1h 42m,Ivan Reitman,,"Harrison Ford,Anne Heche,David Schwimmer","June 12, 1998 (United States)",Northern Lights Entertainment
